All calculations;External Grid
"Time in s";"Active Power in kW"
67580.000000;2.801478
67580.050000;28.389307
67580.100000;53.977414
67580.166667;53.977750
67580.266667;53.977733
67580.366667;53.977756
67580.466667;53.977747
67580.566667;53.977745
67580.666667;53.977744
67580.766667;53.977743
67580.866667;53.977743
67580.966667;53.977742
67581.000000;53.977742
