All calculations
"Time in s"
51299.000000
51299.005000
51299.010000
51299.016667
51299.026667
51299.036667
51299.046667
51299.056667
51299.066667
51299.076667
51299.086667
51299.096667
51299.106667
51299.116667
51299.126667
51299.136667
51299.146667
51299.156667
51299.166667
51299.176667
51299.186667
51299.196667
51299.206667
51299.216667
51299.226667
51299.236667
51299.246667
51299.256667
51299.266667
51299.276667
51299.286667
51299.296667
51299.306667
51299.316667
51299.326667
51299.336667
51299.346667
51299.356667
51299.366667
51299.376667
51299.386667
51299.396667
51299.406667
51299.406667
